,Zip_Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,Non White,Non White Arrests,Class
3,78617,18%,$43957,12%,67%,10%,15%,23%,,11%,1%,8%,$1041,$100600,0.4%,34%,,7%,24%,,63%,,99%,,101%,74%,21%,16%,$865,42%,0.79,0.7727272727,2.1464646465
4,78701,20%,$68152,16%,14%,10%,9%,0%,7%,7%,9%,0%,$1590,$338300,0.8%,134%,0%,7%,12%,1%,29%,7%,90%,30%,12%,115%,59%,97%,$433,23%,0.3,0.5122302158,0.5567719737
5,78702,33%,$34734,18%,56%,14%,11%,10%,21%,41%,39%,2%,$766,$175400,2.2%,15%,0%,39%,51%,2%,80%,15%,99%,67%,3%,73%,207%,96%,$590,39%,0.74,0.7332421341,0.9281546001
6,78703,10%,$92606,9%,9%,6%,4%,4%,3%,11%,0%,0%,$1183,$621900,0.4%,1%,0%,8%,25%,0%,51%,2%,92%,13%,7%,65%,104%,67%,$629,25%,0.18,0.2946175637,0.9820585458
7,78704,21%,$50248,7%,30%,9%,7%,3%,13%,12%,13%,1%,$940,$338200,0.4%,9%,0%,11%,26%,2%,76%,13%,99%,33%,33%,40%,126%,76%,$629,33%,0.37,0.4576271186,0.6184150252
8,78705,66%,$11917,21%,17%,4%,14%,2%,39%,8%,1%,0%,$1088,$292500,0.3%,2%,1%,6%,23%,10%,57%,38%,94%,79%,49%,70%,40%,100%,$511,30%,0.38,0.4885496183,2.7141645462
9,78717,3%,$93305,25%,14%,4%,5%,9%,7%,1%,0%,0%,$1018,$243200,0.1%,230%,0%,1%,9%,0%,70%,6%,98%,67%,638%,2%,33%,3%,$708,47%,0.39,0.4705882353,1.2718600954
10,78721,32%,$32131,36%,52%,17%,16%,14%,61%,26%,47%,10%,$870,$121000,2%,35%,12%,25%,39%,22%,84%,57%,100%,95%,36%,62%,113%,87%,$668,40%,0.88,0.9163346614,2.4114070036
11,78722,19%,$44917,18%,19%,11%,8%,3%,7%,11%,12%,1%,$930,$265100,0.9%,6%,0%,8%,31%,1%,65%,6%,97%,37%,8%,40%,127%,98%,$590,33%,0.37,0.7184466019,1.8421707742
12,78723,29%,$41869,27%,46%,10%,10%,13%,33%,22%,20%,7%,$817,$176500,1.3%,13%,1%,18%,44%,4%,82%,28%,99%,83%,49%,28%,107%,84%,$668,43%,0.73,0.851758794,0.9679077204
