,zip,WHITE,HISPANIC_OR_LATINO,BLACK,ASIAN,MIDDLE_EASTERN,UNKNOWN,HAWAIIAN_PACIFIC_ISLANDER,AMERICAN_INDIAN_ALASKAN_NATIVE,WHITEisRaceKnown,HISPANIC_OR_LATINOisRaceKnown,BLACKisRaceKnown,ASIANisRaceKnown,MIDDLE_EASTERNisRaceKnown,UNKNOWNisRaceKnown,HAWAIIAN_PACIFIC_ISLANDERisRaceKnown,AMERICAN_INDIAN_ALASKAN_NATIVEisRaceKnown
0,78758,271,376,228,6,0,4,0,0,29,28,35,0,0,0,0,0
1,78745,322,326,73,6,4,4,0,0,32,16,4,0,0,1,0,0
2,78752,82,124,98,4,0,1,0,1,6,3,13,0,0,0,0,0
3,78751,69,52,31,5,2,2,0,0,8,7,4,1,0,0,0,0
4,78701,339,194,137,17,3,4,0,1,26,3,13,0,0,0,0,0
5,78749,33,17,6,1,0,0,0,0,2,0,0,0,0,0,0,0
6,78723,59,128,205,3,1,1,0,1,10,11,28,0,0,0,0,0
7,78704,352,226,59,6,4,1,1,0,13,11,7,0,0,0,0,0
8,78753,228,379,279,7,5,2,0,0,34,35,36,0,0,0,0,0
9,78722,29,27,46,0,1,0,0,0,3,0,10,0,0,0,0,0
10,78731,45,18,5,1,0,1,1,0,1,1,0,0,0,0,0,0
11,78757,56,50,19,4,0,0,0,0,6,2,5,0,0,0,0,0
12,78702,195,243,282,4,3,4,0,0,27,30,51,0,0,0,0,0
13,78744,196,362,88,0,1,2,0,0,21,26,8,0,0,0,0,0
14,78759,98,39,32,5,2,0,0,0,6,1,1,0,0,0,0,0
15,78741,228,391,147,3,1,3,1,1,17,32,20,0,0,0,0,0
16,78705,67,35,25,1,2,1,0,0,7,1,3,0,0,0,0,0
17,78742,1,13,3,0,1,0,0,0,0,3,0,0,0,0,0,0
18,78748,89,69,11,0,0,4,0,0,2,2,1,0,0,3,0,0
19,78719,21,24,5,1,1,1,0,0,2,1,0,0,0,0,0,0
20,78703,249,67,21,10,1,5,0,0,3,3,0,0,0,0,0,0
21,78729,67,27,15,0,0,0,1,0,6,0,1,0,0,0,0,0
22,78727,49,19,23,2,0,0,0,0,4,1,3,0,0,0,0,0
23,78754,12,15,17,0,0,0,0,0,1,0,1,0,0,0,0,0
24,78750,39,11,4,0,0,0,0,0,4,0,0,0,0,0,0,0
25,78721,21,64,166,0,0,0,0,0,4,9,18,0,0,0,0,0
26,78724,17,37,73,0,0,0,0,1,0,5,8,0,0,0,0,0
27,78735,11,7,4,1,2,0,0,0,3,0,0,0,0,0,0,0
28,78726,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,78747,9,18,4,0,0,0,0,0,0,1,0,0,0,0,0,0
30,78756,25,7,4,2,0,0,0,0,4,0,1,1,0,0,0,0
31,78652,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,78717,9,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0
33,78746,82,25,5,1,1,2,1,0,2,1,0,0,0,0,0,0
34,78725,5,8,19,0,0,0,0,0,1,0,1,0,0,0,0,0
35,78736,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,78617,5,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
37,78613,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,78653,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,78712,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40,78728,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0
41,78739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,78660,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
43,78732,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,78730,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,78733,10,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
